continent,life_expectancy
Asia,45.9
Asia,74.1
Asia,66.4
Asia,62.9
Asia,60.2
Asia,73.0
Asia,73.6
Asia,52.4
Asia,71.4
Asia,76.7
Asia,64.5
Asia,79.5
Asia,68.0
Asia,62.5
Asia,69.7
Asia,66.5
Asia,78.6
Asia,77.4
Asia,80.7
Asia,63.2
Asia,63.4
Asia,56.5
Asia,74.4
Asia,76.1
Asia,53.1
Asia,71.3
Asia,71.8
Asia,81.6
Asia,62.2
Asia,54.9
Asia,67.3
Asia,70.8
Asia,57.8
Asia,71.8
Asia,61.1
Asia,67.5
Asia,70.7
Asia,71.4
Asia,72.4
Asia,67.8
Asia,80.1
Asia,68.5
Asia,68.6
Asia,64.1
Asia,60.9
Asia,46.0
Asia,71.0
Asia,76.4
Asia,63.7
Asia,69.3
Asia,59.8
Africa,38.3
Africa,46.2
Africa,50.2
Africa,46.7
Africa,39.3
Africa,44.0
Africa,45.2
Africa,54.8
Africa,48.8
Africa,47.4
Africa,60.0
Africa,68.9
Africa,50.8
Africa,69.7
Africa,63.3
Africa,55.8
Africa,49.8
Africa,45.2
Africa,50.1
Africa,57.4
Africa,45.6
Africa,53.2
Africa,49.0
Africa,53.6
Africa,
Africa,48.0
Africa,51.0
Africa,75.5
Africa,50.8
Africa,69.1
Africa,55.0
Africa,46.7
Africa,37.5
Africa,50.8
Africa,71.0
Africa,37.6
Africa,59.5
Africa,42.5
Africa,41.3
Africa,51.6
Africa,72.7
Africa,39.3
Africa,56.6
Africa,62.2
Africa,76.8
Africa,45.3
Africa,46.2
Africa,65.3
Africa,40.4
Africa,70.4
Africa,50.5
Africa,54.7
Africa,73.7
Africa,52.3
Africa,42.9
Africa,51.1
Africa,37.2
Africa,37.8
