continent,name,region,life_expectancy
Africa,Morocco,Northern Africa,69.1
Europe,Monaco,Western Europe,78.8
Europe,Moldova,Eastern Europe,64.5
Africa,Madagascar,Eastern Africa,55.0
Asia,Maldives,Southern and Central Asia,62.2
North America,Mexico,Central America,71.5
Oceania,Marshall Islands,Micronesia,65.5
Europe,Macedonia,Southern Europe,73.8
Africa,Mali,Western Africa,46.7
Europe,Malta,Southern Europe,77.9
Asia,Myanmar,Southeast Asia,54.9
Asia,Mongolia,Eastern Asia,67.3
Oceania,Northern Mariana Islands,Micronesia,75.5
Africa,Mozambique,Eastern Africa,37.5
Africa,Mauritania,Western Africa,50.8
North America,Montserrat,Caribbean,78.0
North America,Martinique,Caribbean,78.3
Africa,Mauritius,Eastern Africa,71.0
Africa,Malawi,Eastern Africa,37.6
Asia,Malaysia,Southeast Asia,70.8
Africa,Mayotte,Eastern Africa,59.5
Africa,Namibia,Southern Africa,42.5
Oceania,New Caledonia,Melanesia,72.8
Africa,Niger,Western Africa,41.3
Oceania,Norfolk Island,Australia and New Zealand,
Africa,Nigeria,Western Africa,51.6
